05/04/2022 15:36:35, File Created!
05/04/2022 15:37:41:661, 6, repeating_exercise
05/04/2022 15:37:41:930, 4, repeating_exercise
05/04/2022 15:37:42:200, 3, repeating_exercise
05/04/2022 15:37:43:557, 7, repeating_exercise
05/04/2022 15:37:43:827, 5, repeating_exercise
05/04/2022 15:37:44:097, 2, repeating_exercise
05/04/2022 15:37:44:371, 4, repeating_exercise
05/04/2022 15:37:44:699, 62, repeating_exercise
05/04/2022 15:37:44:918, 9, repeating_exercise
05/04/2022 15:37:45:186, 3, repeating_exercise
05/04/2022 15:37:45:457, 4, repeating_exercise
05/04/2022 15:37:45:729, 5, repeating_exercise
05/04/2022 15:37:45:996, 2, repeating_exercise
05/04/2022 15:37:46:273, 8, repeating_exercise
05/04/2022 15:37:46:857, 51, repeating_exercise
05/04/2022 15:37:47:135, 57, repeating_exercise
05/04/2022 15:37:47:353, 5, repeating_exercise
05/04/2022 15:37:47:624, 5, repeating_exercise
05/04/2022 15:37:47:891, 2, repeating_exercise
05/04/2022 15:37:48:164, 4, repeating_exercise
05/04/2022 15:37:48:446, 14, repeating_exercise
05/04/2022 15:37:48:706, 4, repeating_exercise
05/04/2022 15:37:49:021, 47, repeating_exercise
05/04/2022 15:37:49:249, 5, repeating_exercise
05/04/2022 15:37:49:569, 53, repeating_exercise
05/04/2022 15:37:49:854, 68, repeating_exercise
05/04/2022 15:37:50:062, 5, repeating_exercise
05/04/2022 15:37:50:331, 3, repeating_exercise
05/04/2022 15:37:50:605, 5, repeating_exercise
05/04/2022 15:37:50:875, 5, repeating_exercise
05/04/2022 15:37:51:416, 5, repeating_exercise
05/04/2022 15:37:51:686, 4, repeating_exercise
05/04/2022 15:37:51:958, 6, repeating_exercise
05/04/2022 15:37:52:232, 8, repeating_exercise
05/04/2022 15:37:52:507, 12, repeating_exercise
05/04/2022 15:37:52:771, 6, repeating_exercise
05/04/2022 15:37:53:040, 5, repeating_exercise
05/04/2022 15:37:53:311, 6, repeating_exercise
05/04/2022 15:37:53:579, 3, repeating_exercise
05/04/2022 15:37:53:909, 63, repeating_exercise
05/04/2022 15:37:54:149, 32, repeating_exercise
05/04/2022 15:37:54:392, 5, repeating_exercise
05/04/2022 15:37:54:720, 61, repeating_exercise
05/04/2022 15:37:54:933, 4, repeating_exercise
05/04/2022 15:37:55:236, 36, repeating_exercise
05/04/2022 15:37:55:479, 7, repeating_exercise
05/04/2022 15:37:55:747, 5, repeating_exercise
05/04/2022 15:37:56:018, 5, repeating_exercise
05/04/2022 15:37:56:288, 5, repeating_exercise
05/04/2022 15:37:56:561, 5, repeating_exercise
05/04/2022 15:37:56:831, 5, repeating_exercise
05/04/2022 15:37:57:101, 4, repeating_exercise
05/04/2022 15:37:57:371, 4, repeating_exercise
05/04/2022 15:37:57:647, 8, repeating_exercise
05/04/2022 15:37:57:913, 3, repeating_exercise
05/04/2022 15:37:58:183, 3, repeating_exercise
05/04/2022 15:37:58:455, 3, repeating_exercise
05/04/2022 15:37:58:730, 8, repeating_exercise
05/04/2022 15:37:59:050, 57, repeating_exercise
05/04/2022 15:37:59:267, 4, repeating_exercise
05/04/2022 15:37:59:539, 5, repeating_exercise
05/04/2022 15:37:59:810, 6, repeating_exercise
05/04/2022 15:38:00:131, 55, repeating_exercise
05/04/2022 15:38:00:352, 5, repeating_exercise
05/04/2022 15:38:00:621, 3, repeating_exercise
05/04/2022 15:38:00:924, 36, repeating_exercise
05/04/2022 15:38:01:199, 12, repeating_exercise
05/04/2022 15:38:01:464, 4, repeating_exercise
05/04/2022 15:38:01:750, 14, repeating_exercise
05/04/2022 15:38:02:119, 111, repeating_exercise
05/04/2022 15:38:02:287, 6, repeating_exercise
05/04/2022 15:38:02:562, 7, repeating_exercise
05/04/2022 15:38:02:831, 4, repeating_exercise
05/04/2022 15:38:03:115, 17, repeating_exercise
