21/03/2022 15:31:52, File Created!
21/03/2022 15:38:13:692, 4, repeating_exercise
21/03/2022 15:38:13:965, 4, repeating_exercise
21/03/2022 15:38:14:241, 7, repeating_exercise
21/03/2022 15:38:14:511, 6, repeating_exercise
21/03/2022 15:38:14:784, 6, repeating_exercise
21/03/2022 15:38:15:054, 6, repeating_exercise
21/03/2022 15:38:15:368, 50, repeating_exercise
21/03/2022 15:38:15:646, 57, repeating_exercise
21/03/2022 15:38:15:862, 3, repeating_exercise
21/03/2022 15:38:16:139, 8, repeating_exercise
21/03/2022 15:38:16:407, 4, repeating_exercise
21/03/2022 15:38:16:678, 5, repeating_exercise
21/03/2022 15:38:16:949, 5, repeating_exercise
21/03/2022 15:38:17:218, 4, repeating_exercise
21/03/2022 15:38:17:489, 4, repeating_exercise
21/03/2022 15:38:17:761, 5, repeating_exercise
21/03/2022 15:38:18:084, 56, repeating_exercise
21/03/2022 15:38:18:356, 58, repeating_exercise
21/03/2022 15:38:18:574, 4, repeating_exercise
21/03/2022 15:38:18:845, 5, repeating_exercise
21/03/2022 15:38:19:176, 66, repeating_exercise
21/03/2022 15:38:19:386, 6, repeating_exercise
21/03/2022 15:38:19:707, 55, repeating_exercise
21/03/2022 15:38:19:932, 7, repeating_exercise
21/03/2022 15:38:20:199, 4, repeating_exercise
21/03/2022 15:38:20:482, 17, repeating_exercise
21/03/2022 15:38:20:742, 7, repeating_exercise
21/03/2022 15:38:21:038, 30, repeating_exercise
21/03/2022 15:38:21:281, 4, repeating_exercise
21/03/2022 15:38:21:555, 7, repeating_exercise
21/03/2022 15:38:21:824, 4, idle
21/03/2022 15:38:22:097, 6, idle
21/03/2022 15:38:22:369, 4, idle
21/03/2022 15:38:22:638, 3, idle
21/03/2022 15:38:22:908, 3, idle
21/03/2022 15:38:23:178, 3, idle
21/03/2022 15:38:23:449, 4, idle
21/03/2022 15:38:23:722, 4, idle
21/03/2022 15:38:23:997, 8, idle
21/03/2022 15:38:24:268, 3, idle
21/03/2022 15:38:24:540, 5, idle
21/03/2022 15:38:24:807, 2, idle
21/03/2022 15:38:25:080, 3, idle
21/03/2022 15:38:25:351, 2, idle
21/03/2022 15:38:25:628, 9, idle
21/03/2022 15:38:25:895, 5, idle
21/03/2022 15:38:26:168, 4, idle
21/03/2022 15:38:26:440, 5, idle
21/03/2022 15:38:26:715, 9, idle
21/03/2022 15:44:46:040, 4, idle
21/03/2022 15:44:46:315, 6, idle
21/03/2022 15:44:46:582, 3, idle
21/03/2022 15:44:46:853, 4, idle
21/03/2022 15:44:47:124, 4, idle
21/03/2022 15:44:47:395, 4, idle
21/03/2022 15:44:47:665, 4, idle
21/03/2022 15:44:47:936, 4, idle
21/03/2022 15:44:48:207, 5, idle
21/03/2022 15:44:48:476, 3, idle
21/03/2022 15:44:48:746, 3, idle
21/03/2022 15:44:49:017, 4, idle
21/03/2022 15:44:49:287, 3, idle
21/03/2022 15:44:49:561, 5, idle
21/03/2022 15:44:49:830, 3, idle
21/03/2022 15:44:50:110, 12, idle
21/03/2022 15:44:50:382, 4, idle
21/03/2022 15:44:50:652, 3, idle
21/03/2022 15:44:50:922, 3, idle
21/03/2022 15:44:51:191, 2, idle
21/03/2022 15:44:51:464, 4, idle
21/03/2022 15:44:51:733, 3, idle
21/03/2022 15:44:52:005, 3, idle
21/03/2022 15:44:52:275, 2, idle
21/03/2022 15:44:52:547, 4, idle
21/03/2022 15:44:52:819, 5, idle
21/03/2022 15:44:53:087, 2, idle
21/03/2022 15:44:53:357, 1, idle
21/03/2022 15:44:53:629, 3, idle
21/03/2022 15:44:53:899, 2, idle
21/03/2022 15:44:54:172, 3, idle
21/03/2022 15:44:54:444, 2, idle
21/03/2022 15:44:54:715, 3, idle
21/03/2022 15:44:54:985, 3, repeating_exercise
21/03/2022 15:44:55:354, 102, repeating_exercise
21/03/2022 15:44:55:526, 3, repeating_exercise
21/03/2022 15:44:55:796, 3, idle
21/03/2022 15:44:56:067, 4, idle
21/03/2022 15:44:56:341, 5, idle
21/03/2022 15:44:56:610, 4, idle
21/03/2022 15:44:56:881, 2, idle
21/03/2022 15:44:57:152, 3, idle
21/03/2022 15:44:57:421, 2, idle
21/03/2022 15:44:57:691, 2, idle
21/03/2022 15:44:57:964, 4, idle
21/03/2022 15:44:58:236, 3, idle
21/03/2022 15:44:58:509, 6, idle
21/03/2022 15:44:58:778, 4, idle
21/03/2022 15:44:59:049, 5, idle
21/03/2022 15:44:59:316, 2, idle
21/03/2022 15:44:59:590, 3, idle
21/03/2022 15:44:59:929, 70, repeating_exercise
21/03/2022 15:45:00:140, 11, repeating_exercise
21/03/2022 15:45:00:404, 4, repeating_exercise
21/03/2022 15:45:00:717, 45, repeating_exercise
21/03/2022 15:45:00:945, 2, repeating_exercise
21/03/2022 15:45:01:276, 62, repeating_exercise
21/03/2022 15:45:01:541, 57, repeating_exercise
21/03/2022 15:45:01:759, 4, repeating_exercise
21/03/2022 15:45:02:031, 6, repeating_exercise
21/03/2022 15:45:02:298, 3, repeating_exercise
21/03/2022 15:45:02:571, 3, repeating_exercise
21/03/2022 15:45:02:896, 58, repeating_exercise
21/03/2022 15:45:03:113, 4, repeating_exercise
21/03/2022 15:45:03:382, 3, repeating_exercise
21/03/2022 15:45:03:657, 8, repeating_exercise
21/03/2022 15:45:03:924, 2, repeating_exercise
21/03/2022 15:45:04:201, 9, repeating_exercise
21/03/2022 15:45:04:465, 3, repeating_exercise
21/03/2022 15:45:04:735, 2, repeating_exercise
21/03/2022 15:45:05:005, 2, repeating_exercise
21/03/2022 15:45:05:308, 35, repeating_exercise
21/03/2022 15:45:05:548, 4, repeating_exercise
21/03/2022 15:45:05:820, 4, repeating_exercise
21/03/2022 15:45:06:090, 4, repeating_exercise
21/03/2022 15:45:06:418, 62, repeating_exercise
21/03/2022 15:45:06:694, 67, repeating_exercise
21/03/2022 15:45:06:902, 4, repeating_exercise
21/03/2022 15:45:07:173, 4, repeating_exercise
21/03/2022 15:45:07:494, 54, repeating_exercise
21/03/2022 15:45:07:712, 2, repeating_exercise
21/03/2022 15:45:07:989, 9, repeating_exercise
21/03/2022 15:45:08:259, 4, repeating_exercise
21/03/2022 15:45:08:530, 5, repeating_exercise
21/03/2022 15:45:08:800, 4, repeating_exercise
21/03/2022 15:45:09:127, 61, repeating_exercise
21/03/2022 15:45:09:385, 45, repeating_exercise
21/03/2022 15:45:09:615, 4, repeating_exercise
21/03/2022 15:45:09:885, 3, repeating_exercise
21/03/2022 15:45:10:221, 68, repeating_exercise
21/03/2022 15:45:10:437, 14, repeating_exercise
21/03/2022 15:45:10:970, 6, repeating_exercise
21/03/2022 15:45:11:238, 4, repeating_exercise
21/03/2022 15:45:11:510, 6, repeating_exercise
21/03/2022 15:45:11:780, 5, repeating_exercise
21/03/2022 15:45:12:072, 26, repeating_exercise
21/03/2022 15:45:12:322, 4, repeating_exercise
21/03/2022 15:45:12:591, 2, repeating_exercise
21/03/2022 15:45:12:870, 11, repeating_exercise
21/03/2022 15:45:13:135, 6, repeating_exercise
21/03/2022 15:45:13:477, 77, repeating_exercise
21/03/2022 15:45:13:676, 5, repeating_exercise
21/03/2022 15:45:13:948, 4, repeating_exercise
21/03/2022 15:45:14:218, 4, repeating_exercise
21/03/2022 15:45:14:489, 4, repeating_exercise
