06/04/2022 14:41:10, File Created!
06/04/2022 14:42:32:817, 14, repeating_exercise
06/04/2022 14:42:33:078, 4, repeating_exercise
06/04/2022 14:42:33:489, 143, repeating_exercise
06/04/2022 14:42:33:628, 8, repeating_exercise
06/04/2022 14:42:33:945, 52, repeating_exercise
06/04/2022 14:42:34:254, 87, repeating_exercise
06/04/2022 14:42:34:492, 53, repeating_exercise
06/04/2022 14:42:34:843, 128, repeating_exercise
06/04/2022 14:42:35:025, 35, repeating_exercise
06/04/2022 14:42:35:291, 26, repeating_exercise
06/04/2022 14:42:35:544, 6, repeating_exercise
06/04/2022 14:42:35:880, 71, repeating_exercise
06/04/2022 14:42:36:188, 105, repeating_exercise
06/04/2022 14:42:36:412, 53, repeating_exercise
06/04/2022 14:42:36:752, 119, repeating_exercise
06/04/2022 14:42:36:941, 20, repeating_exercise
06/04/2022 14:42:37:242, 34, repeating_exercise
06/04/2022 14:42:37:554, 26, repeating_exercise
06/04/2022 14:42:37:862, 19, repeating_exercise
06/04/2022 14:42:38:441, 20, repeating_exercise
06/04/2022 14:42:38:823, 119, repeating_exercise
06/04/2022 14:42:39:387, 97, repeating_exercise
06/04/2022 14:42:39:628, 38, repeating_exercise
06/04/2022 14:42:39:897, 12, repeating_exercise
06/04/2022 14:42:40:167, 7, repeating_exercise
06/04/2022 14:42:40:486, 49, repeating_exercise
06/04/2022 14:42:40:788, 53, repeating_exercise
06/04/2022 14:42:41:059, 16, repeating_exercise
06/04/2022 14:42:41:368, 37, repeating_exercise
06/04/2022 14:42:41:693, 70, repeating_exercise
06/04/2022 14:42:41:934, 25, repeating_exercise
06/04/2022 14:42:42:357, 163, repeating_exercise
06/04/2022 14:42:43:566, 201, repeating_exercise
06/04/2022 14:42:44:672, 104, repeating_exercise
06/04/2022 14:42:45:268, 70, repeating_exercise
06/04/2022 14:42:45:834, 46, repeating_exercise
06/04/2022 14:42:46:260, 167, repeating_exercise
06/04/2022 14:42:47:151, 73, repeating_exercise
06/04/2022 14:42:47:359, 7, repeating_exercise
06/04/2022 14:42:47:640, 13, repeating_exercise
06/04/2022 14:42:47:912, 4, repeating_exercise
06/04/2022 14:42:48:221, 28, repeating_exercise
06/04/2022 14:42:48:537, 63, repeating_exercise
06/04/2022 14:42:48:762, 16, repeating_exercise
06/04/2022 14:42:49:023, 6, repeating_exercise
06/04/2022 14:42:49:373, 77, repeating_exercise
06/04/2022 14:42:49:595, 24, repeating_exercise
06/04/2022 14:42:49:916, 68, repeating_exercise
06/04/2022 14:42:50:129, 8, repeating_exercise
06/04/2022 14:42:50:456, 55, repeating_exercise
06/04/2022 14:42:50:759, 85, repeating_exercise
06/04/2022 14:42:51:000, 53, repeating_exercise
06/04/2022 14:42:51:319, 97, repeating_exercise
06/04/2022 14:42:51:534, 38, repeating_exercise
06/04/2022 14:42:51:774, 7, repeating_exercise
06/04/2022 14:42:52:059, 18, repeating_exercise
06/04/2022 14:42:52:381, 51, repeating_exercise
06/04/2022 14:42:52:652, 50, repeating_exercise
06/04/2022 14:42:52:935, 48, repeating_exercise
06/04/2022 14:42:53:180, 9, repeating_exercise
06/04/2022 14:42:53:595, 151, repeating_exercise
06/04/2022 14:42:53:752, 35, repeating_exercise
06/04/2022 14:42:53:991, 3, repeating_exercise
06/04/2022 14:42:54:263, 4, repeating_exercise
06/04/2022 14:42:54:543, 12, repeating_exercise
06/04/2022 14:42:54:893, 82, repeating_exercise
06/04/2022 14:42:55:094, 10, repeating_exercise
06/04/2022 14:42:55:403, 46, repeating_exercise
06/04/2022 14:42:55:719, 87, repeating_exercise
06/04/2022 14:42:55:929, 27, repeating_exercise
06/04/2022 14:42:56:187, 13, repeating_exercise
06/04/2022 14:42:56:459, 10, repeating_exercise
06/04/2022 14:42:56:728, 5, repeating_exercise
06/04/2022 14:42:57:061, 68, repeating_exercise
06/04/2022 14:42:57:390, 115, repeating_exercise
06/04/2022 14:42:57:587, 35, repeating_exercise
06/04/2022 14:42:57:894, 67, repeating_exercise
06/04/2022 14:42:58:196, 97, repeating_exercise
06/04/2022 14:42:58:412, 43, repeating_exercise
06/04/2022 14:42:58:651, 10, repeating_exercise
06/04/2022 14:42:58:957, 37, repeating_exercise
06/04/2022 14:42:59:218, 6, repeating_exercise
06/04/2022 14:42:59:562, 80, repeating_exercise
06/04/2022 14:42:59:758, 6, repeating_exercise
06/04/2022 14:43:00:091, 61, repeating_exercise
06/04/2022 14:43:00:377, 30, repeating_exercise
06/04/2022 14:43:00:629, 11, repeating_exercise
06/04/2022 14:43:00:942, 54, repeating_exercise
06/04/2022 14:43:01:253, 87, repeating_exercise
06/04/2022 14:43:01:462, 21, repeating_exercise
06/04/2022 14:43:01:772, 56, repeating_exercise
06/04/2022 14:43:02:078, 87, repeating_exercise
06/04/2022 14:43:02:295, 30, repeating_exercise
06/04/2022 14:43:02:603, 67, repeating_exercise
