06/04/2022 10:53:58, File Created!
06/04/2022 11:48:41:469, 5, idle
06/04/2022 11:48:41:737, 2, idle
06/04/2022 11:48:42:010, 3, idle
06/04/2022 11:48:42:282, 5, idle
06/04/2022 11:48:42:550, 3, idle
06/04/2022 11:48:42:822, 4, idle
06/04/2022 11:48:43:092, 4, idle
06/04/2022 11:48:43:364, 5, idle
06/04/2022 11:48:43:632, 2, idle
06/04/2022 11:48:43:904, 4, idle
06/04/2022 11:48:44:174, 4, idle
06/04/2022 11:48:44:445, 4, idle
06/04/2022 11:48:44:718, 6, idle
06/04/2022 11:48:44:986, 3, idle
06/04/2022 11:48:45:257, 4, idle
06/04/2022 11:48:45:530, 6, idle
06/04/2022 11:48:45:799, 3, idle
06/04/2022 11:48:46:071, 5, creating_exercise
06/04/2022 11:48:46:341, 4, creating_exercise
06/04/2022 11:48:46:611, 4, creating_exercise
06/04/2022 11:48:46:883, 3, creating_exercise
06/04/2022 11:48:47:157, 5, creating_exercise
06/04/2022 11:48:47:428, 6, creating_exercise
06/04/2022 11:48:47:697, 4, creating_exercise
06/04/2022 11:48:47:967, 3, creating_exercise
06/04/2022 11:48:48:238, 3, creating_exercise
06/04/2022 11:48:48:507, 2, creating_exercise
06/04/2022 11:48:48:780, 4, creating_exercise
06/04/2022 11:48:49:052, 4, creating_exercise
06/04/2022 11:48:49:330, 11, creating_exercise
06/04/2022 11:48:49:595, 6, creating_exercise
06/04/2022 11:48:49:863, 3, creating_exercise
06/04/2022 11:48:50:135, 4, creating_exercise
06/04/2022 11:48:50:403, 2, creating_exercise
06/04/2022 11:48:50:675, 4, creating_exercise
06/04/2022 11:48:50:947, 4, creating_exercise
06/04/2022 11:48:51:215, 2, idle
06/04/2022 11:48:51:488, 5, idle
06/04/2022 11:48:51:756, 2, idle
06/04/2022 11:48:52:029, 5, idle
06/04/2022 11:48:52:299, 4, idle
06/04/2022 11:48:52:570, 4, idle
06/04/2022 11:48:52:841, 3, idle
06/04/2022 11:48:53:116, 6, idle
06/04/2022 11:48:53:386, 4, idle
06/04/2022 11:48:53:655, 3, idle
06/04/2022 11:48:53:930, 7, idle
06/04/2022 11:48:54:201, 4, idle
06/04/2022 11:48:54:474, 4, idle
06/04/2022 11:48:54:744, 2, idle
06/04/2022 11:48:55:018, 4, idle
06/04/2022 11:55:34:633, 5, idle
06/04/2022 11:55:34:904, 3, idle
06/04/2022 11:55:35:176, 5, idle
06/04/2022 11:55:35:445, 3, idle
06/04/2022 11:55:35:719, 6, idle
06/04/2022 11:55:35:993, 10, idle
06/04/2022 11:55:36:259, 5, idle
06/04/2022 11:55:36:528, 3, idle
06/04/2022 11:55:36:803, 7, idle
06/04/2022 11:55:37:071, 2, idle
06/04/2022 11:55:37:344, 5, repeating_exercise
06/04/2022 11:55:37:612, 2, repeating_exercise
06/04/2022 11:55:37:884, 4, repeating_exercise
06/04/2022 11:55:38:155, 4, repeating_exercise
06/04/2022 11:55:38:424, 2, repeating_exercise
06/04/2022 11:55:38:696, 4, repeating_exercise
06/04/2022 11:55:38:966, 4, repeating_exercise
06/04/2022 11:55:39:237, 5, idle
06/04/2022 11:55:39:506, 3, idle
06/04/2022 11:55:39:779, 6, idle
06/04/2022 11:55:40:048, 4, idle
06/04/2022 11:55:40:320, 4, idle
06/04/2022 11:55:40:590, 4, idle
06/04/2022 11:55:40:860, 4, idle
06/04/2022 11:55:41:134, 6, idle
06/04/2022 11:55:41:403, 5, idle
06/04/2022 11:55:41:675, 6, idle
06/04/2022 11:55:42:033, 94, repeating_exercise
06/04/2022 11:55:42:260, 50, repeating_exercise
06/04/2022 11:55:42:487, 7, repeating_exercise
06/04/2022 11:55:42:755, 4, repeating_exercise
06/04/2022 11:55:43:025, 3, repeating_exercise
06/04/2022 11:55:43:345, 53, repeating_exercise
06/04/2022 11:55:43:577, 14, idle
06/04/2022 11:55:43:837, 4, idle
06/04/2022 11:55:44:109, 5, idle
06/04/2022 11:55:44:380, 4, idle
06/04/2022 11:55:44:756, 110, repeating_exercise
06/04/2022 11:55:44:919, 2, repeating_exercise
06/04/2022 11:55:45:236, 49, repeating_exercise
06/04/2022 11:55:45:460, 2, repeating_exercise
06/04/2022 11:55:45:733, 5, repeating_exercise
06/04/2022 11:55:46:005, 6, repeating_exercise
06/04/2022 11:55:46:278, 7, idle
06/04/2022 11:55:46:548, 6, idle
06/04/2022 11:55:46:900, 86, repeating_exercise
06/04/2022 11:55:47:090, 6, repeating_exercise
06/04/2022 11:55:47:359, 4, repeating_exercise
06/04/2022 11:55:47:629, 4, repeating_exercise
06/04/2022 11:55:47:900, 4, repeating_exercise
06/04/2022 11:55:48:174, 6, idle
06/04/2022 11:55:48:444, 4, idle
06/04/2022 11:55:48:714, 4, idle
06/04/2022 11:55:48:986, 5, repeating_exercise
06/04/2022 11:55:49:529, 5, repeating_exercise
06/04/2022 11:55:49:799, 5, repeating_exercise
06/04/2022 11:55:50:071, 4, idle
06/04/2022 11:55:50:344, 7, idle
06/04/2022 11:55:50:620, 13, repeating_exercise
06/04/2022 11:55:50:932, 55, repeating_exercise
06/04/2022 11:55:51:200, 49, repeating_exercise
06/04/2022 11:55:51:426, 5, repeating_exercise
06/04/2022 11:55:51:701, 8, repeating_exercise
06/04/2022 11:55:51:969, 5, idle
06/04/2022 11:55:52:240, 5, idle
06/04/2022 11:55:52:512, 6, repeating_exercise
06/04/2022 11:55:52:782, 6, repeating_exercise
06/04/2022 11:55:53:053, 5, repeating_exercise
06/04/2022 11:55:53:324, 4, repeating_exercise
